,e2_mean,e3_mean,e5_mean,e7_mean
block_d,-0.2929003326177441,-0.28002505655499677,-0.4132642753262958,0.06865173351633902
block_f,0.273975025744673,0.322390495041303,0.38704936527861855,0.06912746128407597
block_p,0.011742531315013236,0.06308357574337589,0.2202280370458934,-0.25956721823201745
block_s,0.08636020968241837,-0.062318327243940444,-0.15250571139500083,0.15914606707695728
