carrier_element,block,carrier_group,carrier_period,carrier_Z,n_materials,N_obs,delta_N_median,xi_obs,xi_norm,Q_lock,best_topology,C_total_min,C_e_min,C_N_min,C_xi_min,A_best,confidence
Ac,f,3.0,7.0,89.0,1,,0.3473372685173159,,0.0,0.652662731482684,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Al,p,13.0,3.0,13.0,2,,0.2453421804836293,,0.0,0.7546578195163707,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Au,d,11.0,6.0,79.0,4,,0.0032225270644694,0.5363627317419482,0.14069539673753317,0.9967774729355307,TRI_RING,84.82173806761483,84.35114503816793,0.0,0.9411860588937964,2.519083969465649,0.829915108621921
B,p,13.0,2.0,5.0,1,,0.1046371488444943,,0.0,0.8953628511555057,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Ba,s,2.0,6.0,56.0,3,,0.3288940449219391,,0.0,0.6711059550780609,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Br,p,17.0,4.0,35.0,1,,0.2318439927798488,,0.0,0.7681560072201512,BIN_DIPOLE,1.8677807815188003,1.8677807815188003,0.0,0.0,2.211845662324895,0.9952581534422682
Ca,s,2.0,4.0,20.0,3,,0.1743655492153542,,0.0,0.8256344507846458,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Cd,d,12.0,5.0,48.0,1,,0.2167081421247871,,0.0,0.7832918578752129,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Ce,f,3.0,6.0,58.0,3,,0.313043657692867,,0.0,0.686956342307133,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Cr,d,6.0,4.0,24.0,1,,0.4261728044340387,,0.0,0.5738271955659613,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Cu,d,11.0,4.0,29.0,2,,0.283309971717927,,0.0,0.716690028282073,HEPTA_FLOWER,21.825396825396826,21.825396825396826,0.0,0.0,2.5396825396825395,0.9014943330188808
Fe,d,8.0,4.0,26.0,85,,0.0587273429683197,0.4396614221398871,0.0,0.9412726570316803,BIN_DIPOLE,0.7525861312692024,0.4669451953797001,0.0,0.5712818717790046,1.1059228311624476,0.9923782142523987
Ga,p,13.0,4.0,31.0,1,,0.065448209449896,,0.0,0.934551790550104,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Ge,p,14.0,4.0,32.0,1,,0.0790484662436323,,0.0,0.9209515337563677,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Hf,d,4.0,6.0,72.0,3,,0.3772890080871252,,0.0,0.6227109919128748,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Hg,d,12.0,6.0,80.0,1,,0.2104939523204372,,0.0,0.7895060476795628,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
In,p,13.0,5.0,49.0,2,,0.1813966728489646,,0.0,0.8186033271510353,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Ir,d,9.0,6.0,77.0,1,,0.1285414534766005,,0.0,0.8714585465233995,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
La,f,3.0,6.0,57.0,13,,0.3126169954721618,0.995927960105405,0.8093390004017538,0.6873830045278382,BIN_DIPOLE,2.0277524322096787,0.4669451953797001,0.0,3.121614473659957,1.1059228311624476,0.9796861085726307
