carrier_element,block,n_materials,topology_id,C_e,C_xi,C_total,Q_lock,xi_norm
Ga,p,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.8528770739378083,0.0
Ge,p,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.8207213868004938,0.0
Ge,p,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.8207213868004938,0.0
Ge,p,1,TETRA_PACK,0.255,0.0,0.255,0.8207213868004938,0.0
Ge,p,1,PENTA_FLOWER,0.645,0.0,0.645,0.8207213868004938,0.0
Ge,p,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.8207213868004938,0.0
Hf,d,3,BIN_DIPOLE,0.13602222222222224,0.0,0.13602222222222224,0.11557811629994375,0.0
Hf,d,3,TRI_RING,0.5438888888888888,0.0,0.5438888888888888,0.11557811629994375,0.0
Hf,d,3,TETRA_PACK,0.010555555555555554,0.0,0.010555555555555554,0.11557811629994375,0.0
Hf,d,3,PENTA_FLOWER,0.3672222222222223,0.0,0.3672222222222223,0.11557811629994375,0.0
Hf,d,3,HEPTA_FLOWER,0.4372222222222223,0.0,0.4372222222222223,0.11557811629994375,0.0
Hg,d,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.5099390251141596,0.0
Hg,d,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.5099390251141596,0.0
Hg,d,1,TETRA_PACK,0.255,0.0,0.255,0.5099390251141596,0.0
Hg,d,1,PENTA_FLOWER,0.645,0.0,0.645,0.5099390251141596,0.0
Hg,d,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.5099390251141596,0.0
In,p,2,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.5787350066475814,0.0
In,p,2,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.5787350066475814,0.0
In,p,2,TETRA_PACK,0.255,0.0,0.255,0.5787350066475814,0.0
In,p,2,PENTA_FLOWER,0.645,0.0,0.645,0.5787350066475814,0.0
In,p,2,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.5787350066475814,0.0
Ir,d,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.7037029336130951,0.0
Ir,d,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.7037029336130951,0.0
Ir,d,1,TETRA_PACK,0.255,0.0,0.255,0.7037029336130951,0.0
Ir,d,1,PENTA_FLOWER,0.645,0.0,0.645,0.7037029336130951,0.0
Ir,d,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.7037029336130951,0.0
La,f,13,BIN_DIPOLE,0.00461285444234404,0.11840872234355464,0.06381721561412136,0.2684850088481041,0.8093390004017538
